Date,Open,High,Low,Close,Volume
9-Jul-15,86.73,87.60,85.65,85.88,23307402
8-Jul-15,86.29,86.75,85.44,85.65,24399340
7-Jul-15,87.80,87.85,85.23,87.22,33059921
6-Jul-15,86.49,88.18,86.39,87.55,24635915
2-Jul-15,87.40,87.44,86.34,87.28,16908781
1-Jul-15,86.77,87.95,86.49,86.91,25260045
30-Jun-15,86.60,86.70,85.57,85.76,23233183
29-Jun-15,86.61,87.50,85.73,85.80,35957872
26-Jun-15,88.12,88.34,86.83,88.01,38214647
25-Jun-15,89.26,89.40,87.84,87.98,27301967
24-Jun-15,87.66,89.25,87.45,88.86,41370227
23-Jun-15,84.96,87.97,84.76,87.88,50667853
22-Jun-15,83.41,84.97,83.31,84.74,29383079
19-Jun-15,82.83,82.98,82.12,82.51,23353194
18-Jun-15,81.64,83.19,81.57,82.90,26782573
17-Jun-15,81.76,82.22,81.34,81.79,18350287
16-Jun-15,80.82,81.51,80.45,81.06,13693666
15-Jun-15,80.55,80.93,80.07,80.71,18805087
12-Jun-15,81.37,82.09,81.20,81.53,11417882
11-Jun-15,82.31,82.90,81.36,81.83,18656811
10-Jun-15,80.83,82.60,80.81,82.16,21531208
9-Jun-15,80.60,81.19,79.32,80.67,16497538
8-Jun-15,81.82,82.00,80.13,80.67,16915471
5-Jun-15,81.87,82.46,81.51,82.14,16143093
4-Jun-15,82.14,82.95,81.51,82.05,20863877
3-Jun-15,81.35,82.53,81.25,82.44,31774993
2-Jun-15,79.76,81.35,79.56,80.44,18923300
1-Jun-15,79.30,80.38,78.66,80.29,18119012
29-May-15,79.95,80.07,78.88,79.19,16134580
28-May-15,80.25,81.07,80.00,80.14,11982008
27-May-15,79.60,80.66,79.43,80.55,14160865
26-May-15,80.43,80.60,79.08,79.34,16321339
22-May-15,80.35,81.31,80.25,80.54,19567937
21-May-15,80.19,80.92,80.08,80.48,13402749
20-May-15,80.47,81.10,79.46,80.55,23056899
19-May-15,81.25,81.69,80.55,80.63,17955389
