Date,Open,High,Low,Close,Volume
4-Aug-15,197.18,199.00,194.15,194.76,2709224
3-Aug-15,200.50,203.26,195.73,197.10,4541465
31-Jul-15,207.81,209.90,200.73,203.26,10299792
30-Jul-15,230.00,230.38,220.33,227.15,7376637
29-Jul-15,226.08,232.03,223.58,232.00,2020062
28-Jul-15,223.65,229.16,220.96,228.50,1682930
27-Jul-15,222.46,222.46,215.76,220.66,1798274
24-Jul-15,227.57,228.89,223.54,225.06,1143088
23-Jul-15,226.51,228.97,223.56,224.10,1128162
22-Jul-15,229.72,230.00,222.77,224.80,1581740
21-Jul-15,230.28,233.18,228.00,231.05,1345875
20-Jul-15,226.54,232.50,226.20,230.56,2225072
17-Jul-15,225.12,228.75,223.67,224.95,2466989
16-Jul-15,220.25,221.68,218.74,219.27,1204582
15-Jul-15,218.21,223.05,216.86,218.54,2360855
14-Jul-15,212.83,214.48,212.59,213.88,834023
13-Jul-15,211.52,213.87,210.50,213.33,996382
10-Jul-15,211.61,212.24,208.63,209.95,997208
9-Jul-15,207.47,210.37,207.44,207.56,899481
8-Jul-15,209.23,209.75,204.78,205.37,1106321
7-Jul-15,208.68,212.44,203.61,210.98,2048327
6-Jul-15,205.38,209.85,205.14,209.45,1399967
2-Jul-15,208.00,208.75,207.06,207.76,790939
1-Jul-15,208.87,209.26,206.34,207.96,1313917
30-Jun-15,205.50,209.09,204.98,206.63,1600077
29-Jun-15,210.00,211.04,202.75,203.55,2691481
26-Jun-15,217.56,217.97,215.24,215.93,874653
25-Jun-15,215.73,218.00,215.55,217.89,777618
24-Jun-15,216.75,218.22,215.26,215.70,793688
23-Jun-15,217.11,218.27,216.22,217.31,827061
22-Jun-15,217.28,218.11,215.09,217.15,793523
19-Jun-15,218.47,218.47,215.50,216.78,1309174
18-Jun-15,216.63,219.70,216.51,217.75,1212436
17-Jun-15,217.98,218.63,214.02,215.91,1160041
16-Jun-15,215.53,217.80,215.21,217.29,979955
15-Jun-15,215.27,217.11,213.54,215.75,989981
12-Jun-15,217.32,217.96,214.83,215.72,941757
11-Jun-15,216.96,218.28,216.36,217.95,1093158
10-Jun-15,216.83,218.62,215.94,216.70,1772391
9-Jun-15,212.71,219.64,211.66,216.83,2490211
8-Jun-15,214.50,215.49,211.37,212.04,1706628
5-Jun-15,215.00,216.93,212.17,213.80,1812636
4-Jun-15,214.51,217.21,211.33,212.83,2685468
3-Jun-15,211.24,215.46,210.32,213.25,4291187
2-Jun-15,200.08,207.43,199.00,204.81,3258974
1-Jun-15,196.13,202.91,194.93,200.77,2792190
29-May-15,195.25,197.15,194.63,194.93,1569023
28-May-15,198.10,198.69,196.02,196.23,1333387
27-May-15,195.00,198.00,194.12,197.99,1326645
26-May-15,195.98,196.91,194.50,195.79,1419490
22-May-15,197.33,197.87,195.01,196.23,1412770
21-May-15,194.39,197.06,193.26,197.04,2230762
20-May-15,194.87,195.00,191.64,193.80,1500610
19-May-15,197.26,197.30,193.03,194.22,2485880
18-May-15,191.50,199.00,191.00,198.38,3805944
15-May-15,195.02,195.94,193.20,195.66,1521327
14-May-15,198.20,198.20,192.75,194.49,3744970
13-May-15,200.53,200.68,195.26,196.87,2086747
12-May-15,200.00,200.87,198.00,200.24,1356219
11-May-15,199.00,202.65,197.33,200.26,2081766
8-May-15,202.94,204.29,197.88,198.72,2970069
7-May-15,199.82,202.94,199.01,201.41,2089145
6-May-15,200.00,200.64,196.11,200.22,3092388
